 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor
1,Changes - 2015 Remaster,David Bowie,114,8B,31,2025-04-16,03:37,68,"glam rock, art rock",Rock,Hunky Dory (2015 Remaster),1971-12-17,56,51,0,41,0,10,-12,C,4,0LrwgdLsFaWh9VXIjBRe8t,Parlophone UK,USJT11500128,Puffy
2,Outshined - Remastered 2016,Soundgarden,95,7A,84,2025-04-21,05:11,64,"grunge, post-grunge, hard rock",Rock,Badmotorfinger (25th Anniversary Remaster),1991-10-08,49,0,1,55,0,10,-6,D minor,4,4VwPsMcRt1HPVKIdcwY9Uj,A&M,USAM19104304,Sam
3,Where am I,Ichika Nito,97,5A,51,2025-04-21,02:56,23,math rock,Rock,Journey,2018-08-12,79,55,75,53,0,40,-16,C minor,4,6rvfF5VtVI4ZEdORSori7l,Ichika Nito,TCJPH1857715,Sam
4,The Parting Glass,"The Longest Johns, Natalie Holmes",42,10B,17,2025-04-21,03:18,2,"sea shanties, folk","Folk, Traditional Music",C-Sides,2023-05-30,40,85,0,28,10,10,-11,D,4,1XSXQVGXFYmMeiFOD16GJv,The Longest Johns Ltd,UKPGJ2200067,Sam
5,Hard Times Come Again No More,The Longest Johns,168,10B,47,2025-04-21,04:43,34,"sea shanties, folk","Folk, Traditional Music",Smoke & Oakum,2022-01-28,52,36,0,52,0,10,-9,D,4,3Riq4RZQVNR4nNmik5WbnA,Decca (UMO),GBUM72105340,Sam
6,Ain't Misbehavin',Fats Waller,98,5A,22,2025-04-21,03:57,51,"swing music, ragtime, big band, jazz",Jazz,"If You Got To Ask, You Ain't Got It!",1926-00-00,52,82,0,35,0,10,-17,C minor,4,3BFRqZFLSrqtQr6cjHbAxU,Bluebird/Legacy,USBB10000483,Sam
7,Everybody's Talkin',"Crosby, Stills & Nash",98,1B,14,2025-04-21,03:13,35,"folk rock, yacht rock","Folk, Rock, Pop","Crosby, Stills & Nash",1969-05-29,59,95,1,11,0,10,-18,B,4,2moQAQK2TFktQZY0aDmFC9,Rhino Atlantic,USAT20506568,Sam
8,Jazz Hands,"Aesop Rock, Blockhead",73,8A,79,2025-04-21,03:24,30,"underground hip hop, experimental hip hop, alternative hip hop, trip hop, downtempo, plunderphonics, nu jazz","Hip Hop, Electronic, Jazz",Garbology,2021-11-12,43,9,0,56,10,10,-6,A minor,4,6pgNNxR18ouQZlaSIPKFGz,Rhymesayers,USBWK2100084,Sam
9,E. S. P.,Masayoshi Takanaka,119,11A,52,2025-04-27,04:11,51,"jazz fusion, city pop, jazz funk","Pop, Jazz, R&B, Electronic, Rock",AN INSATIABLE HIGH,1977-00-00,80,20,8,93,0,0,-14,F#/G♭ minor,4,4ZNYJOxZ1Sy31bONMhaxJo,Universal Music LLC,JPKT07701204,Eunice
10,I Just Threw Out The Love Of My Dreams,Weezer,130,11A,97,2025-04-27,02:37,72,alternative rock,Rock,Pinkerton - Deluxe Edition,1996-09-24,41,0,0,28,10,10,-4,F#/G♭ minor,4,35SRuRfp5BvD1yArmXKNHO,Geffen,USUM71021458,Eunice
11,"Jongno Calling (feat. 이현송, Horan, Jung Woo, 이이언, CRYING NUT, Galaxy Express, Bosudongcooler, 데디오레디오, Romantic Punch, ROCK N ROLL RADIO, Lazybone & YEOJEONG)","Captainrock, 이현송, Horan, Jung Woo, eAeon, CRYING NUT, Galaxy Express, Bosudongcooler, 데디오레디오, Romantic Punch, Rock N Roll Radio, Lazybone, YEOJEONG",126,12B,65,2025-04-30,03:49,11,"k-rock, ska punk","Rock, Reggae",Jongno Calling,2019-06-20,67,87,0,90,0,30,-4,E,4,6JGaDHIagC4sxqizFlluyW,CaptainRock Company,KRMIM1910149,Eunice
12,Oh Fudge,"Aesop Rock, Blockhead",158,3A,85,2025-05-06,03:02,28,"underground hip hop, experimental hip hop, alternative hip hop, trip hop, downtempo, plunderphonics, nu jazz","Hip Hop, Electronic, Jazz",Garbology,2021-11-12,67,17,0,68,20,0,-5,A#/B♭ minor,4,0TbUn96jyJnHYdDK61TuF2,Rhymesayers,USBWK2100089,Sam
13,Mah Na Mah Na,Mahna Mahna and The Two Snowths,93,9A,44,2025-05-07,02:04,50,,,The Muppets (Original Motion Picture Soundtrack),2011-11-21,76,73,12,59,10,0,-10,E minor,4,4rVrHxLGV2iSN4nJtI9hKh,Walt Disney Records,USWD11158969,Kathryn
14,Harpy Hare,Yaelokre,130,10B,53,2025-05-07,03:00,5,,,Harpy Hare,2024-01-04,65,64,0,35,0,20,-12,D,4,35I2E525yJpUQ5ZJgfxizT,Independent,QZWFP2367225,Kathryn
15,Everytime We Touch - Nightcore & KYANU Edit,"Cascada, KYANU",178,8B,96,2025-05-07,02:28,61,"europop, eurodance, nightcore, hypertechno","Electronic, Pop",Nightcore,2015-09-11,52,1,0,55,10,40,-6,C,4,40aG6sP7TMy3x1J1zGW8su,Zoopreme,DEHK91586911,Kathryn
16,The Devil Went Down to Georgia,The Charlie Daniels Band,134,8B,63,2025-05-07,03:34,67,"southern rock, outlaw country, classic country, country rock, country","Country, Rock",A Decade Of Hits,1988-08-10,52,16,0,92,0,0,-9,C,4,383Xl5QTigwj3QiA3Qc6S7,Epic/Legacy,USSM17900810,Miller
17,Stupid for You,Waterparks,118,12A,92,2025-05-07,03:11,55,pop punk,"Pop, Rock",Double Dare,2016-11-03,58,2,0,60,0,20,-3,C♯/D♭ minor,4,1N7Aep1OewK9diaN9WbuuR,Equal Vision Records,US3X51636703,Miller
18,後悔,Satoko Shibata,102,11B,63,2025-05-07,02:41,34,"japanese indie, shibuya-kei","Pop, Rock, Electronic",愛の休日,2017-05-17,72,47,0,89,0,10,-5,A,4,6Qm1avnZnDVZkDsvKVbcls,IDEAL MUSIC LLC. / P-VINE RECORDS,JPV501700147,Shelbie
19,Afrique,Count Basie,144,4B,51,2025-05-08,03:06,3,"big band, swing music, jazz, vocal jazz",Jazz,Afrique,1971-01-01,71,59,2,77,0,10,-8,G#/A♭,1,1zAMAi5rFHfdBJmLA1tLdE,Ace Records,GB03A1300762,Shelbie
20,A Horny Money World ～伝説の夜～,Houshou Marine,145,3B,96,2025-05-12,03:16,54,"j-pop, vocaloid","Pop, Electronic",Ahoy!! キミたちみんなパイレーツ♡,2024-10-16,76,16,0,96,10,30,-2,C♯/D♭,4,6LEtKyIFzzigjaD142Nibx,cover corp.,JPV752409085,Micah
21,WINNER！ゴジュウジャー！,Wienners,190,8A,99,2025-05-12,03:31,46,j-rock,Rock,ナンバーワン戦隊ゴジュウジャー 主題歌,2025-03-19,60,2,0,52,10,30,-1,A minor,4,1XMNGyamTbJj6Bv3FQBt3I,"Nippon Columbia Co., Ltd.",JPCO02501140,Micah
22,Graceland Too,Phoebe Bridgers,150,6B,34,2025-05-13,03:56,66,,,Punisher,2020-06-18,45,87,0,35,0,10,-10,A#/B♭,4,1WCjhRs2WBgyeGaybCX2Po,Dead Oceans,USJ5G2020010,TJ
23,Spring Into Summer,Lizzy McAlpine,92,10B,57,2025-05-13,04:22,79,,,Older (and Wiser),2024-10-04,52,61,0,23,0,10,-7,D,4,6oCXDaFZYL7sHnowv6pdXb,Indigo Blue/RCA Records,USRC12402627,TJ
24,Primadonna,MARINA,128,9A,69,2025-05-31,03:41,73,,,Electra Heart (Deluxe),2012-04-27,66,9,0,43,0,0,-3,E minor,4,4sOX1nhpKwFWPvoMMExi3q,Atlantic Records UK,GBFFS1200009,Sarah
25,Pretty Little Baby,Connie Francis,121,4B,40,2025-05-31,02:22,74,,,Connie Francis Sings Second Hand Love & Other Hits,1962-04-10,78,73,0,63,0,20,-9,G#/A♭,4,5GQPBzoRBDxcAjwSSluQXD,Universal Records,USUM71120288,Sarah
26,Oh Susan,Mark Whalen,90,5B,44,2025-06-01,03:28,47,bedroom pop,Pop,Morning Glory,2018-11-16,78,62,1,61,0,10,-11,D#/E♭,4,3nf9In5KCH6RdorA6J1C8F,Mark Whalen,TCADY1864504,Angel
27,5:15 The Angels Have Gone,David Bowie,91,9B,72,2025-06-02,05:01,32,"glam rock, art rock",Rock,Heathen,2002-06-10,62,5,1,36,0,20,-7,G,4,0zYQ0ww5UuoC63uwG10Vlx,Rhino,USRF30200009,Puffy
28,Noid,"Tyler, The Creator",82,3B,78,2025-06-02,04:44,68,,,CHROMAKOPIA,2024-10-28,38,52,0,42,30,40,-6,C♯/D♭,4,1YdtGoSYDvVQKoUqSDXX41,Columbia,USQX92405785,Puffy
29,Can't Stop,Red Hot Chili Peppers,91,11B,94,2025-06-03,04:29,87,"funk rock, alternative rock, rock","Rock, R&B",By the Way (Deluxe Edition),2002-07-09,62,2,0,88,0,10,-3,A,4,3ZOEytgrvLwQaqXreDs2Jx,Warner Records,USWB10201694,Miller
30,undressed,sombr,116,8B,89,2025-06-03,03:02,83,,,undressed,2025-03-21,64,14,0,89,0,0,-4,C,4,4AajxCEwGEsmHmT4H1TwjY,Warner Records,USWB12500737,Miller
31,Do Me Like That,The Paradox,180,10B,82,2025-09-05,03:31,59,pop punk,"Pop, Rock",Do Me Like That,2025-04-25,48,0,0,47,0,0,-4,D,4,1y6lq1wrAspWEgRJmYb11S,"Hundred Days Records, LLC",USA2P2516813,Jean
32,The Unknowing,Jfarrari,180,10A,88,2025-06-03,03:17,43,"darkwave, post-punk","Electronic, Rock",Fear of the Unknown,2025-01-24,48,1,68,69,0,10,-6,B minor,4,4SsTGcFqch8KEvS3Ag4QKp,Jfarrari,QZTAT2357388,Jean
33,Bubble Pop Electric,"Gwen Stefani, Johnny Vulture",194,3B,98,2025-06-03,03:42,64,,,Love. Angel. Music. Baby.,2004-11-12,57,0,0,35,20,10,-4,C♯/D♭,4,4A2vjMnkAWgPVqwl3Xc7pu,Interscope,USIR10400844,Jean
34,SPIT IN MY FACE!,ThxSoMch,94,4B,79,2025-06-03,02:27,79,,,SPIT IN MY FACE!,2022-12-20,73,5,2,65,0,10,-7,G#/A♭,4,1N8TTK1Uoy7UvQNUazfUt5,Elektra (NEK),USAT22223103,Jean
