 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor,PC1,PC2,PC3
1,Changes - 2015 Remaster,David Bowie,114,8B,31,2025-04-16,03:37,68,"glam rock, art rock",Rock,Hunky Dory (2015 Remaster),1971-12-17,56,51,0,41,0,10,-12,C,4,0LrwgdLsFaWh9VXIjBRe8t,Parlophone UK,USJT11500128,Puffy,-2.3743318167014293,0.4267587646167875,0.13463609398899237
2,Outshined - Remastered 2016,Soundgarden,95,7A,84,2025-04-21,05:11,64,"grunge, post-grunge, hard rock",Rock,Badmotorfinger (25th Anniversary Remaster),1991-10-08,49,0,1,55,0,10,-6,D minor,4,4VwPsMcRt1HPVKIdcwY9Uj,A&M,USAM19104304,Sam,0.6866978795777996,0.012913194725913412,-0.5685315829844926
3,Where am I,Ichika Nito,97,5A,51,2025-04-21,02:56,23,math rock,Rock,Journey,2018-08-12,79,55,75,53,0,40,-16,C minor,4,6rvfF5VtVI4ZEdORSori7l,Ichika Nito,TCJPH1857715,Sam,-2.8711891317067426,0.6485609508178054,-0.19872949859730443
4,The Parting Glass,"The Longest Johns, Natalie Holmes",42,10B,17,2025-04-21,03:18,2,"sea shanties, folk","Folk, Traditional Music",C-Sides,2023-05-30,40,85,0,28,10,10,-11,D,4,1XSXQVGXFYmMeiFOD16GJv,The Longest Johns Ltd,UKPGJ2200067,Sam,-3.7422280503623524,0.7344466851232692,1.37972316085702
5,Hard Times Come Again No More,The Longest Johns,168,10B,47,2025-04-21,04:43,34,"sea shanties, folk","Folk, Traditional Music",Smoke & Oakum,2022-01-28,52,36,0,52,0,10,-9,D,4,3Riq4RZQVNR4nNmik5WbnA,Decca (UMO),GBUM72105340,Sam,-0.7948513095609453,-0.4957369863725032,-0.22473185789589867
6,Ain't Misbehavin',Fats Waller,98,5A,22,2025-04-21,03:57,51,"swing music, ragtime, big band, jazz",Jazz,"If You Got To Ask, You Ain't Got It!",1926-00-00,52,82,0,35,0,10,-17,C minor,4,3BFRqZFLSrqtQr6cjHbAxU,Bluebird/Legacy,USBB10000483,Sam,-4.06024298147988,0.6251332807918262,0.45071274842417053
7,Everybody's Talkin',"Crosby, Stills & Nash",98,1B,14,2025-04-21,03:13,35,"folk rock, yacht rock","Folk, Rock, Pop","Crosby, Stills & Nash",1969-05-29,59,95,1,11,0,10,-18,B,4,2moQAQK2TFktQZY0aDmFC9,Rhino Atlantic,USAT20506568,Sam,-4.876568689143915,0.5696740012292368,0.8068416891350815
8,Jazz Hands,"Aesop Rock, Blockhead",73,8A,79,2025-04-21,03:24,30,"underground hip hop, experimental hip hop, alternative hip hop, trip hop, downtempo, plunderphonics, nu jazz","Hip Hop, Electronic, Jazz",Garbology,2021-11-12,43,9,0,56,10,10,-6,A minor,4,6pgNNxR18ouQZlaSIPKFGz,Rhymesayers,USBWK2100084,Sam,0.3887713395842422,0.21820999521347387,0.41340521838063765
9,E. S. P.,Masayoshi Takanaka,119,11A,52,2025-04-27,04:11,51,"jazz fusion, city pop, jazz funk","Pop, Jazz, R&B, Electronic, Rock",AN INSATIABLE HIGH,1977-00-00,80,20,8,93,0,0,-14,F#/G♭ minor,4,4ZNYJOxZ1Sy31bONMhaxJo,Universal Music LLC,JPKT07701204,Eunice,-0.9920354241387329,2.2072530324691533,-0.9666302123102006
10,I Just Threw Out The Love Of My Dreams,Weezer,130,11A,97,2025-04-27,02:37,72,alternative rock,Rock,Pinkerton - Deluxe Edition,1996-09-24,41,0,0,28,10,10,-4,F#/G♭ minor,4,35SRuRfp5BvD1yArmXKNHO,Geffen,USUM71021458,Eunice,1.3499671842912928,-1.379198975878557,0.49815251794736404
