Track Name,Artist,Contributed By,Spotify ID
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",Miller,7mykoq6R3BArsSpNDjFQTm
Thought You Should Know,Sip Sip Bubbleheads,Miller,7sW9KMwIz1t2CbTvHsnPmQ
"Requiem, K. 626: IIIf. Lacrimosa","Wolfgang Amadeus Mozart, The Monteverdi Choir, English Baroque Soloists, John Eliot Gardiner",Shelbie,4ATc4is1rQb7PgKqtOdDnR
Selfhug Biglove,Yuinishio,Shelbie,644uk2f8dAJCvxly8s20St
"Erlkönig, D. 328","Franz Schubert, Bryn Terfel, Malcolm Martineau",Puffy,4oomOHx8NgPq2flBcGxtxD
Grave Digger,Blues Saraceno,Puffy,4NFzce1mEWP01qTtHhsmgo
Something Comforting,Porter Robinson,TJ,5g7bsxCqNaucnXpexUoHg8
Love You Back,Madeon,TJ,5wM6LOw2U6XeIFHfsgI6wU
Impulse,An Endless Sporadic,Angel,2pA1EyG0yjSbSoYJM4O16I
La Camisa Negra,Juanes,Angel,2EM9zpAc7PVeoAydmbfVIL
Sick On Seventh Street,Sarah and the Safe Word,Gabe,3vO0kLVEB9zatBcVdSRkPh
The Thief and the Moon,Shawn James,Gabe,6vRiJnUvfc4ZdpEkedxfVv
D City Rock feat. Debra Zeer,"TeddyLoid, Debra Zeer",Sarah,30kpqo2lUMRZcn9CwRXNPR
Save It For Later,The English Beat,Clark,5rBOBI3INEw0u0rwNNGib5
(Nothing But) Flowers - 2005 Remaster,Talking Heads,Clark,4oEKgLZ8uTSioNKuO8Kydu
trucking,Linus,Tony,5pWtiWdLBudSiHpeXpjSod
I Don't Love You Anymore,Bomb the Music Industry!,Tony,5jEerj0iPqRiud1nIouUoX
keys make noise,Ezekiel,Jean,3XNVBgEgIxoipF0XL1BDwF
t r a n s p a r e n t s o u l feat. Travis Barker,"WILLOW, Travis Barker",Jean,1QL7nSDZCwZMnbisV4KOXt
I Must Apologise,PinkPantheress,Micah,2rrq3SGYxk90xLx5fMmPhZ
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",Micah,3tFed7YsjGnIfxeLEQwx3R
Walkin,Denzel Curry,Bryce,1q8DwZtQen5fvyB7cKbShC
Bad Luck Charm,Jeff Williams,Bryce,40UOHg5vI8H5oGuN9uQdGl
I Am The Man Thomas,The Devil Makes Three,Miller,2a3JYsfxG551Cwv1zWZChp
Sam,Sturgill Simpson,Miller,1kKDVYavcoEH5N6R6ezM6T
All Falls Down,"Kanye West, Syleena Johnson",Micah,5SkRLpaGtvYPhw02vZhQQ9
November Has Come,"Gorillaz, MF DOOM",Micah,6lrDckuosGpwEHtm1hHBcf
Dance Five,Arkady Shilkloper,Shelbie,2Z7kg1i8RSfLUvZwqT62s3
I Can't Leave My Room,"Nalba, Chevy, Park Bird",Shelbie,2lF93k8iNxCTIKh0Zhey8j
Le cambie el nombre,Pan de Dulce,Angel,74yBYbqF8TLaEnLF5T5kdn
Pleasantries (With Your Lover),Mustard Service,Angel,1BnQsuVAqdQSorYqCNwTvs
Norf Norf,Vince Staples,Theresa,4uQ7wYsuL0DryknoDc11Hk
The Recipe - Bonus Track,"Kendrick Lamar, Dr. Dre",Theresa,1eRBW1HcyM1zPlxO26cScZ
Fly Me to the Earth,Wallace Collection,Clark,3drKEw3spxFHMC3Geh4ZIi
Guajira Sicodelica,Los Destellos,Clark,4x4GKtgrjYx3oBb7rRKJ6U
Snake Eater,Cynthia Harrell,Puffy,2e3g8go386Zn6EyIz60Ci9
Sailor Song,Gigi Perez,Sarah,2262bWmqomIaJXwCRHr13j
Star Trails,Derivakat,Sarah,1Z1lrO5QBASaZqEOzUs12b
It's Okay...,what is your name?,Tony,2mHmttqCxUtYEOJO10czhf
Chant This Charm ～Theme Of Giant Egg～,"SEGA SOUND TEAM, Mariko Nanba, YUKARI FRESH",Tony,5DGfDHCZlYx6D4tr5x6PeX
YKWIM?,Yot Club,Puffy,2vWBUC9djv6BtiGlmKiQaH
Mia & Sebastian’s Theme,Justin Hurwitz,TJ,1Vk4yRsz0iBzDiZEoFMQyv
erase me (feat. Jacob Collier),"Lizzy McAlpine, Jacob Collier",TJ,57Z4ecZTqs7ig9nWY7xoou
No Fear No More (Remix),"Madeon, EARTHGANG",Jean,36X1P3v7N1dv06bh2aPtMF
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",Jean,2g6tReTlM2Akp41g0HaeXN
anemoia,Oliver Buckland,Theresa,7t1YmdBxp90g4OHNMOUcdI
Rain in Space,Ear Candy Jazz Factory,Angel,4cqHikdb2TaehHTSBfc08p
Doesn't Make You Right,Dirty Heads,Gabe,7y2RoHNhrToMvCOXQpkS8C
Toothache,Westislonely,Gabe,0AyKfB8CNXhohSuOfenvpO
DENIAL IS A RIVER,Doechii,Micah,1eTaznNW4Xxtx9za2SMTXB
You Can Say Hi,Soia,Micah,0BkulSzcAkMF1VQeLBFrte
Greatdayndamornin'/Booty (Medley),D'Angelo,Shelbie,3yFTG9CQTdlDwsAfha6CqM
Djobi Djoba,Gipsy Kings,Shelbie,38MBgJc4k6LXvzvlD2tnEx
INVISIBLE,Duran Duran,Miller,51EpFns3CG9taCMQz6XDom
Elsa’s Song,The Amazing Devil,Miller,5jZnnHPY4HqDAMkqi9WMSM
Ricochet - 2018 Remaster,David Bowie,Puffy,04pkbLDMnaQdx4kV9bbuV4
Shadow Man,"Noname, Smino, Phoelix, Saba",TJ,0EN4QjJqiAufEh6g4xPNvC
Amphetamine,Smino,TJ,3Zau3JcrZcBfw8aVjKGkSX
中庭の少女たち,SHISHAMO,Angel,1YrU8ExqF04ygegVoOOoFU
Oh My God,Adele,Hannah,3Kkjo3cT83cw09VJyrLNwX
SUN GOES DOWN,Lil Nas X,Hannah,5KwtjazkcM6dYT5cuPB0FN
Here Come the Rome Plows,Drive Like Jehu,Tony,2VaZ98xvuFoOwlzqAedqUZ
64,Guitar Fight from Fooly Cooly,Tony,4PXbgo0YMetIQxqBDpbGgx
Bourbon Street,Jeff Tuohy,Gabe,09rAqsUGWjqNEHna4aXBrk
Eat My Words,PrettyUgly,Gabe,1Lp7vOBdE1qXhhY11OG4qh
reincarnated,Kendrick Lamar,Bryce,0RgjEkSbeuStKfT2Pa4Zai
Dragonball Durag,Thundercat,Bryce,7eWGnKg4B44sbBPpQp4y2c
Origami,The Rare Occasions,Jean,3qpyxgH65qNhJ9hLS2gWrS
Remember Me (from the series Arcane League of Legends),"Arcane, d4vd",Jean,2fQwoYSzWzChmIB2zZwrGL
BLOODBATH,"6arelyhuman, asteria",Sarah,30IcVPNfNfWeEqbSzQhMi6
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",Sarah,2LwsunYgfRoqyIsNtgOCQx
WINDY SUMMER,Anri,Eunice,7fgmo2cHGzWLexkRhBeECj
Where You Go,Meldrop,Angel,4ZPkW8kj32cbdSEmzo6vTY
track 02,Flight by Nothing,Angel,1RDOW4HrSrLgOB4SqSCfup
Picture Window,Japanese Breakfast,Tony,02olsPYJypEE0IyuaGS4K4
Stay Golden,Combat,Tony,3LDShVeLxQkQldsomd0n2k
Love the Subhuman Self,"AISHA, Jamison Boaz, Arc System Works",Bryce,7gESuiigF7GFFYIApfUBk5
Anything For You,Ludo,Miller,6o5sSlAsvLcPdrK7HFxXp3
Voldemort,With Confidence,Miller,27oxSfW0iib7w0NG4zf9Fp
Blu,Jon Bellion,TJ,4FUDWkguOUVpLRAVn5C20z
WASH,Jon Bellion,TJ,6KPtG0aIKnSqszstXgH2NS
Your Teeth In My Neck,Kali Uchis,Micah,54IbnYEdA3ymfxv07WgN3b
Chicago,Michael Jackson,Micah,5BKKy9fIJL5uM9fz1SnqyP
リズと青い鳥 第三楽章「愛ゆえの決断」,北宇治高校吹奏楽部,Shelbie,04XhdVM3q2qPusWPEmg95c
Long Time Sunshine,Weezer,Shelbie,2pY4j2aJ5nyw0IjhgpeAEW
Just like Heaven,The Cure,Sarah,76GlO5H5RT6g7y0gev86Nk
Stacy's Mom,Fountains Of Wayne,Sarah,27L8sESb3KR79asDUBu8nW
"무제(無題) (Untitled, 2014)",G-DRAGON,Kathryn,16BS342F89MDqouSxgLaUK
Run BTS,BTS,Kathryn,69xohKu8C1fsflYAiSNbwM
Just Right,GOT7,Kathryn,16dL6zhP5MLxEwX8sbqCOa
VERY NICE,SEVENTEEN,Kathryn,1Rrj7KyS2R6SP9CQMDJW1w
